n,temporada,jornada,fecha_sorteo,n_partidos_evaluados,faltantes,hits_3_dobles,accuracy_simple,accuracy_market,recaudacion_euros,premios.pleno15.acertantes,premios.pleno15.premio_euros,premios.14.acertantes,premios.14.premio_euros,premios.13.acertantes,premios.13.premio_euros,premios.12.acertantes,premios.12.premio_euros,premios.11.acertantes,premios.11.premio_euros,premios.10.acertantes,premios.10.premio_euros,combinacion_ganadora,desajustes_vs_combinacion_oficial
1,2023-2024,1,2023-08-13,14,"[""Athletic de Bilbao B - Real Madrid""]",3,0.21428571428571427,0.14285714285714285,266405550,0,,0,,2,99902,30,6660,278,718,1824,131,"[""X"", ""X"", ""2"", ""2"", ""2"", ""X"", ""1"", ""1"", ""2"", ""X"", ""X"", ""2"", ""2"", ""1"", ""M1""]",1.0
2,2023-2024,2,2023-08-20,14,"[""Osasuna - Athletic de Bilbao B""]",9,0.6428571428571429,0.6428571428571429,278993025,0,,10,44638,317,660,3989,52,28391,7,124328,2,"[""X"", ""2"", ""2"", ""1"", ""1"", ""X"", ""1"", ""1"", ""1"", ""1"", ""2"", ""X"", ""1"", ""1"", ""02""]",1.0
4,2023-2024,7,2023-09-17,14,"[""Athletic de Bilbao B - Cádiz""]",10,0.6428571428571429,0.7142857142857143,336419250,0,,8,67283,387,651,6311,39,51708,4,190202,1,"[""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""1"", ""1"", ""X"", ""1"", ""2M""]",1.0
5,2023-2024,9,2023-09-24,14,"[""Alavés - Athletic de Bilbao B""]",8,0.5714285714285714,0.5714285714285714,276953550,0,,5,88625,157,1323,1915,108,14812,14,74637,3,"[""X"", ""1"", ""X"", ""1"", ""X"", ""X"", ""2"", ""1"", ""1"", ""2"", ""1"", ""2"", ""1"", ""1"", ""M1""]",1.0
6,2023-2024,11,2023-10-01,14,"[""Real Sociedad - Athletic de Bilbao B""]",6,0.35714285714285715,0.35714285714285715,316956975,0,,1,507131,78,3047,1333,178,10876,21,55145,5,"[""X"", ""X"", ""2"", ""1"", ""X"", ""2"", ""1"", ""1"", ""1"", ""X"", ""2"", ""2"", ""1"", ""2"", ""21""]",1.0
7,2023-2024,13,2023-10-08,14,"[""Athletic de Bilbao B - Almería""]",7,0.42857142857142855,0.42857142857142855,319212675,0,,0,,12,19950,228,1050,2465,97,17307,16,"[""2"", ""X"", ""X"", ""1"", ""X"", ""1"", ""X"", ""2"", ""X"", ""1"", ""2"", ""1"", ""2"", ""1"", ""21""]",1.0
8,2023-2024,15,2023-10-22,14,"[""Barcelona - Athletic de Bilbao B""]",8,0.5714285714285714,0.5714285714285714,396499200,3,705308,16,39649,509,584,6228,47,42168,7,179220,1,"[""1"", ""X"", ""X"", ""2"", ""2"", ""1"", ""X"", ""1"", ""X"", ""2"", ""2"", ""2"", ""1"", ""1"", ""20""]",1.0
9,2023-2024,17,2023-10-29,14,"[""Athletic de Bilbao B - Valencia""]",10,0.6428571428571429,0.5,326935875,0,,0,,32,7662,561,437,5142,47,29955,9,"[""2"", ""X"", ""X"", ""1"", ""X"", ""X"", ""1"", ""2"", ""1"", ""1"", ""1"", ""X"", ""1"", ""X"", ""12""]",1.0
10,2023-2024,18,2023-11-05,14,"[""Villarreal - Athletic de Bilbao B""]",10,0.6428571428571429,0.6428571428571429,379341225,1,1579794,1,606945,81,3512,1236,230,12038,23,67857,5,"[""2"", ""1"", ""X"", ""2"", ""1"", ""1"", ""2"", ""X"", ""X"", ""1"", ""X"", ""1"", ""1"", ""X"", ""10""]",1.0
12,2023-2024,22,2023-11-26,14,"[""Girona - Athletic de Bilbao B""]",11,0.6428571428571429,0.6428571428571429,3642062,16,49815,90,6474,1554,175,14904,18,84434,3,299851,,"[""X"", ""X"", ""1"", ""1"", ""1"", ""1"", ""2"", ""1"", ""X"", ""1"", ""1"", ""X"", ""1"", ""1"", ""11""]",1.0
